service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
S2112-SATCo-Weekday-05,1,1,1,1,1,0,0,20220204,20220304
S2112-SATCo-Weekday-05-1101100,1,1,0,1,1,0,0,20220204,20220304
S2112-SATCo-Weekday-05-0010000,0,0,1,0,0,0,0,20220204,20220304
S2112-SATCo-Weekday-05-1111000,1,1,1,1,0,0,0,20220204,20220304
S2112-Satco-Saturday-06,0,0,0,0,0,1,0,20220205,20220319
S2112-Satco-Sunday-03,0,0,0,0,0,0,1,20220206,20220313
S2112-AMD-Weekday-58,1,1,1,1,1,0,0,20220221,20220221
S2112-AMD-Weekday-60,1,1,1,1,1,0,0,20220222,20220225
S2112-AMD-Weekday-60-1111000,1,1,1,1,0,0,0,20220222,20220225
S2112-AMD-Weekday-57,1,1,1,1,1,0,0,20220307,20220311
S2112-AMD-Weekday-57-1101100,1,1,0,1,1,0,0,20220307,20220311
S2112-AMD-Weekday-57-0010000,0,0,1,0,0,0,0,20220307,20220311
S2112-AMD-Weekday-57-1111000,1,1,1,1,0,0,0,20220307,20220311
S2112-AMD-Weekday-59,1,1,1,1,1,0,0,20220314,20220318
S2112-AMD-Weekday-59-1101100,1,1,0,1,1,0,0,20220314,20220318
S2112-AMD-Weekday-59-0010000,0,0,1,0,0,0,0,20220314,20220318
UM2122-UMTS-Weekday-54,1,1,1,1,1,0,0,20220204,20220221
UM2122-UMTS-Weekday-54-0000100,0,0,0,0,1,0,0,20220204,20220221
UM2122-UMTS-Weekday-54-0001100,0,0,0,1,1,0,0,20220204,20220221
UM2122-UMTS-Weekday-54-1110000,1,1,1,0,0,0,0,20220204,20220221
UM2122-UMTS-Weekday-54-0001000,0,0,0,1,0,0,0,20220204,20220221
UM2122-UMTS-Saturday-21,0,0,0,0,0,1,0,20220205,20220305
UM2122-UMTS-Sunday-19,0,0,0,0,0,0,1,20220206,20220306
UM2122-UMTS-Weekday-62,1,1,1,1,1,0,0,20220207,20220310
UM2122-UMTS-Weekday-62-1110000,1,1,1,0,0,0,0,20220207,20220310
UM2122-UMTS-Weekday-62-0001100,0,0,0,1,1,0,0,20220207,20220310
UM2122-UMTS-Weekday-62-0001000,0,0,0,1,0,0,0,20220207,20220310
UM2122-UMTS-Weekday-62-0000100,0,0,0,0,1,0,0,20220207,20220310
UM2122-UMTS-Weekday-62-0101000,0,1,0,1,0,0,0,20220207,20220310
UM2122-UMTS-Weekday-62-1010100,1,0,1,0,1,0,0,20220207,20220310
UM2122-UMTS-Weekday-53,1,1,1,1,1,0,0,20220311,20220311
UM2122-UMTS-Weekday-53-1010100,1,0,1,0,1,0,0,20220311,20220311
UM2122-UMTS-Weekday-53-0101000,0,1,0,1,0,0,0,20220311,20220311
UM2122-UMTS-Saturday-20,0,0,0,0,0,1,0,20220312,20220319
UM2122-UMTS-Sunday-18,0,0,0,0,0,0,1,20220313,20220313
UM2122-UMTS-Weekday-49,1,1,1,1,1,0,0,20220314,20220318
N2201-VATCo-Weekday-99,1,1,1,1,1,0,0,20220204,20220311
N2201-VATCo-Weekday-99-1110000,1,1,1,0,0,0,0,20220204,20220311
N2201-VATCo-Weekday-99-0000100,0,0,0,0,1,0,0,20220204,20220311
N2201-VATCo-Weekday-99-0001000,0,0,0,1,0,0,0,20220204,20220311
N2201-VATCo-Weekday-99-0100000,0,1,0,0,0,0,0,20220204,20220311
N2201-VATCo-Weekday-99-1000000,1,0,0,0,0,0,0,20220204,20220311
N2201-VATCo-Weekday-99-0001100,0,0,0,1,1,0,0,20220204,20220311
N2201-VATCo-Weekday-99-0111100,0,1,1,1,1,0,0,20220204,20220311
N2201-VATCo-Weekday-99-1011100,1,0,1,1,1,0,0,20220204,20220311
N2201-VATCo-Saturday-99,0,0,0,0,0,1,0,20220205,20220312
N2201-VATCo-Sunday-99,0,0,0,0,0,0,1,20220206,20220306
N2201-VATCo-Weekday-06,1,1,1,1,1,0,0,20220221,20220221
N2201-VATCo-Weekday-06-1000000,1,0,0,0,0,0,0,20220221,20220221
N2201-VATCo-Weekday-06-0111100,0,1,1,1,1,0,0,20220221,20220221
N2201-VATCo-Weekday-06-0011100,0,0,1,1,1,0,0,20220221,20220221
N2201-VATCo-Weekday-06-1100000,1,1,0,0,0,0,0,20220221,20220221
N2201-VATCo-Weekday-06-0001000,0,0,0,1,0,0,0,20220221,20220221
N2201-VATCo-Weekday-06-0010000,0,0,1,0,0,0,0,20220221,20220221
N2201-VATCo-Weekday-06-1110000,1,1,1,0,0,0,0,20220221,20220221
N2201-VATCo-Weekday-06-0000100,0,0,0,0,1,0,0,20220221,20220221
N2201-VATCo-Sunday-04,0,0,0,0,0,0,1,20220313,20220313
N2201-VATCo-Weekday-04,1,1,1,1,1,0,0,20220314,20220318
N2201-VATCo-Weekday-04-1000000,1,0,0,0,0,0,0,20220314,20220318
N2201-VATCo-Weekday-04-0111100,0,1,1,1,1,0,0,20220314,20220318
N2201-VATCo-Weekday-04-0011100,0,0,1,1,1,0,0,20220314,20220318
N2201-VATCo-Weekday-04-1100000,1,1,0,0,0,0,0,20220314,20220318
N2201-VATCo-Weekday-04-0001000,0,0,0,1,0,0,0,20220314,20220318
N2201-VATCo-Weekday-04-0010000,0,0,1,0,0,0,0,20220314,20220318
N2201-VATCo-Weekday-04-1110000,1,1,1,0,0,0,0,20220314,20220318
N2201-VATCo-Weekday-04-0000100,0,0,0,0,1,0,0,20220314,20220318
N2201-VATCo-Saturday-04,0,0,0,0,0,1,0,20220319,20220319
