service_id,date,exception_type
S2112-SATCo-Weekday-05,20220221,2
S2112-SATCo-Weekday-05-1101100,20220221,2
S2112-SATCo-Weekday-05-0010000,20220221,2
S2112-SATCo-Weekday-05-1111000,20220221,2
S2112-SATCo-Weekday-05,20220222,2
S2112-SATCo-Weekday-05-1101100,20220222,2
S2112-SATCo-Weekday-05-0010000,20220222,2
S2112-SATCo-Weekday-05-1111000,20220222,2
S2112-SATCo-Weekday-05,20220223,2
S2112-SATCo-Weekday-05-1101100,20220223,2
S2112-SATCo-Weekday-05-0010000,20220223,2
S2112-SATCo-Weekday-05-1111000,20220223,2
S2112-SATCo-Weekday-05,20220224,2
S2112-SATCo-Weekday-05-1101100,20220224,2
S2112-SATCo-Weekday-05-0010000,20220224,2
S2112-SATCo-Weekday-05-1111000,20220224,2
S2112-SATCo-Weekday-05,20220225,2
S2112-SATCo-Weekday-05-1101100,20220225,2
S2112-SATCo-Weekday-05-0010000,20220225,2
S2112-SATCo-Weekday-05-1111000,20220225,2
UM2122-UMTS-Weekday-54,20220207,2
UM2122-UMTS-Weekday-54-0000100,20220207,2
UM2122-UMTS-Weekday-54-0001100,20220207,2
UM2122-UMTS-Weekday-54-1110000,20220207,2
UM2122-UMTS-Weekday-54-0001000,20220207,2
UM2122-UMTS-Weekday-54,20220208,2
UM2122-UMTS-Weekday-54-0000100,20220208,2
UM2122-UMTS-Weekday-54-0001100,20220208,2
UM2122-UMTS-Weekday-54-1110000,20220208,2
UM2122-UMTS-Weekday-54-0001000,20220208,2
UM2122-UMTS-Weekday-54,20220209,2
UM2122-UMTS-Weekday-54-0000100,20220209,2
UM2122-UMTS-Weekday-54-0001100,20220209,2
UM2122-UMTS-Weekday-54-1110000,20220209,2
UM2122-UMTS-Weekday-54-0001000,20220209,2
UM2122-UMTS-Weekday-54,20220210,2
UM2122-UMTS-Weekday-54-0000100,20220210,2
UM2122-UMTS-Weekday-54-0001100,20220210,2
UM2122-UMTS-Weekday-54-1110000,20220210,2
UM2122-UMTS-Weekday-54-0001000,20220210,2
UM2122-UMTS-Weekday-54,20220211,2
UM2122-UMTS-Weekday-54-0000100,20220211,2
UM2122-UMTS-Weekday-54-0001100,20220211,2
UM2122-UMTS-Weekday-54-1110000,20220211,2
UM2122-UMTS-Weekday-54-0001000,20220211,2
UM2122-UMTS-Weekday-54,20220214,2
UM2122-UMTS-Weekday-54-0000100,20220214,2
UM2122-UMTS-Weekday-54-0001100,20220214,2
UM2122-UMTS-Weekday-54-1110000,20220214,2
UM2122-UMTS-Weekday-54-0001000,20220214,2
UM2122-UMTS-Weekday-54,20220215,2
UM2122-UMTS-Weekday-54-0000100,20220215,2
UM2122-UMTS-Weekday-54-0001100,20220215,2
UM2122-UMTS-Weekday-54-1110000,20220215,2
UM2122-UMTS-Weekday-54-0001000,20220215,2
UM2122-UMTS-Weekday-54,20220216,2
UM2122-UMTS-Weekday-54-0000100,20220216,2
UM2122-UMTS-Weekday-54-0001100,20220216,2
UM2122-UMTS-Weekday-54-1110000,20220216,2
UM2122-UMTS-Weekday-54-0001000,20220216,2
UM2122-UMTS-Weekday-54,20220217,2
UM2122-UMTS-Weekday-54-0000100,20220217,2
UM2122-UMTS-Weekday-54-0001100,20220217,2
UM2122-UMTS-Weekday-54-1110000,20220217,2
UM2122-UMTS-Weekday-54-0001000,20220217,2
UM2122-UMTS-Weekday-54,20220218,2
UM2122-UMTS-Weekday-54-0000100,20220218,2
UM2122-UMTS-Weekday-54-0001100,20220218,2
UM2122-UMTS-Weekday-54-1110000,20220218,2
UM2122-UMTS-Weekday-54-0001000,20220218,2
UM2122-UMTS-Weekday-62,20220221,2
UM2122-UMTS-Weekday-62-1110000,20220221,2
UM2122-UMTS-Weekday-62-0001100,20220221,2
UM2122-UMTS-Weekday-62-0001000,20220221,2
UM2122-UMTS-Weekday-62-0000100,20220221,2
UM2122-UMTS-Weekday-62-0101000,20220221,2
UM2122-UMTS-Weekday-62-1010100,20220221,2
N2201-VATCo-Weekday-99,20220221,2
N2201-VATCo-Weekday-99-1110000,20220221,2
N2201-VATCo-Weekday-99-0000100,20220221,2
N2201-VATCo-Weekday-99-0001000,20220221,2
N2201-VATCo-Weekday-99-0100000,20220221,2
N2201-VATCo-Weekday-99-1000000,20220221,2
N2201-VATCo-Weekday-99-0001100,20220221,2
N2201-VATCo-Weekday-99-0111100,20220221,2
N2201-VATCo-Weekday-99-1011100,20220221,2
