stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1,1,"South Deerfield Center",,  42.477045, -72.607454,,,0,
10,10,"Silver Lane",,  42.454685, -72.567691,,,0,
100,100,"Haydenville Center OB",,  42.374311, -72.701847,,,0,
1000,1000,"Plainfield / Wason",,  42.123722, -72.617441,,,0,
10006,10006,"MassMutual Enfield",,  42.018114, -72.584851,,,0,
1001,1001,"Bay / Aster",,  42.124004, -72.560011,,,0,
1002,1002,"Springfield / Medical Ctr Drive (across)",,  42.123712, -72.603921,,,0,
1003,1003,"Carew / Van Horn",,  42.123644, -72.586598,,,0,
1005,1005,"Liberty / Cleveland",,  42.123626, -72.584259,,,0,
1006,1006,"Springfield / Medical Ctr Drive",,  42.123469, -72.603901,,,0,
1007,1007,"3300 Main Street",,  42.123174, -72.609741,,,0,
1008,1008,"Carew/Van Horn(opposite)",,  42.123496, -72.586603,,,0,
1009,1009,"Bay / Edgewood",,  42.121816, -72.561574,,,0,
101,101,"Haydenville IB",,  42.374226, -72.701847,,,0,
1012,1012,"State / Tilton (1)",,  42.123253, -72.542139,,,0,
1013,1013,"Liberty / Cleveland",,  42.122942, -72.584344,,,0,
1014,1014,"Main/Noble",,  42.123080, -72.609528,,,0,
1015,1015,"State / Tilton (2)",,  42.123619, -72.540950,,,0,
1017,1017,"Plainfield / Demond",,  42.122388, -72.616730,,,0,
1018,1018,"Elm / Lower Grandview (1)",,  42.121992, -72.627419,,,0,
102,102,"Amherst Glass (Out)",,  42.376194, -72.501264,,,0,
1020,1020,"Parker / Sunrise (1)",,  42.123237, -72.497467,,,0,
1022,1022,"Carew/Armory",,  42.122357, -72.588055,,,0,
1023,1023,"Carew / Armory",,  42.122202, -72.588450,,,0,
1024,1024,"Plainfield / Laurel",,  42.121969, -72.616608,,,0,
1026,1026,"Main / Mechanic",,  42.120474, -72.745437,,,0,
1027,1027,"Court / Washington",,  42.120344, -72.752822,,,0,
