route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
R41,N2201-VATCo-Weekday-04,3718399-N2201-VATCo-Weekday-04,"Northampton via Holyoke C.C., Easthampton",0,394414,R410057
R41,N2201-VATCo-Weekday-04-1000000,3718400-N2201-VATCo-Weekday-04-1000000,"Northampton via Holyoke C.C., Easthampton",0,394413,R410057
R41,N2201-VATCo-Weekday-04,3718401-N2201-VATCo-Weekday-04,"Northampton via Holyoke C.C., Easthampton",0,394415,R410057
R41,N2201-VATCo-Weekday-04-1000000,3718402-N2201-VATCo-Weekday-04-1000000,"Northampton ",0,394413,R410057
R41,N2201-VATCo-Weekday-04,3718403-N2201-VATCo-Weekday-04,"Northampton via Holyoke C.C., Easthampton",0,394415,R410057
R41,N2201-VATCo-Weekday-04,3718404-N2201-VATCo-Weekday-04,"Northampton via Holyoke C.C., Easthampton",0,394414,R410057
R41,N2201-VATCo-Weekday-04,3718405-N2201-VATCo-Weekday-04,"Holyoke Mall via Easthampton",1,394414,R410059
R41,N2201-VATCo-Weekday-04,3718406-N2201-VATCo-Weekday-04,"Holyoke Mall via Easthampton",1,394415,R410059
R41,N2201-VATCo-Weekday-04-1000000,3718407-N2201-VATCo-Weekday-04-1000000,"Holyoke Mall via Easthampton",1,394413,R410059
R41,N2201-VATCo-Weekday-04,3718408-N2201-VATCo-Weekday-04,"Holyoke Mall via Easthampton",1,394414,R410059
R41,N2201-VATCo-Weekday-04,3718409-N2201-VATCo-Weekday-04,"Holyoke Mall via Easthampton",1,394415,R410059
R41,N2201-VATCo-Weekday-04-1000000,3718410-N2201-VATCo-Weekday-04-1000000,"Holyoke Mall via Easthampton",1,394413,R410059
R41,N2201-VATCo-Weekday-04,3718411-N2201-VATCo-Weekday-04,"Holyoke Mall via Easthampton",1,394414,R410059
R41,N2201-VATCo-Weekday-04,3718412-N2201-VATCo-Weekday-04,"Holyoke Mall via Easthampton",1,394415,R410059
R41,N2201-VATCo-Weekday-04-1000000,3718413-N2201-VATCo-Weekday-04-1000000,"Holyoke Mall via Easthampton",1,394413,R410059
R41,N2201-VATCo-Weekday-04,3718414-N2201-VATCo-Weekday-04,"Holyoke Mall via Easthampton",1,394414,R410059
R41,N2201-VATCo-Weekday-04,3718415-N2201-VATCo-Weekday-04,"Holyoke Mall via Easthampton",1,394415,R410059
R41,N2201-VATCo-Weekday-04-1000000,3718416-N2201-VATCo-Weekday-04-1000000,"Holyoke Mall via Easthampton",1,394413,R410059
R41,N2201-VATCo-Weekday-04,3718417-N2201-VATCo-Weekday-04,"Northampton via Holyoke C.C., Easthampton",0,394414,R410057
R41,N2201-VATCo-Weekday-04,3718418-N2201-VATCo-Weekday-04,"Northampton via Holyoke C.C., Easthampton",0,394415,R410057
R41,N2201-VATCo-Weekday-04-1000000,3718419-N2201-VATCo-Weekday-04-1000000,"Northampton via Holyoke C.C., Easthampton",0,394413,R410057
R41,N2201-VATCo-Weekday-04,3718420-N2201-VATCo-Weekday-04,"Northampton via Holyoke C.C., Easthampton",0,394414,R410057
R41,N2201-VATCo-Weekday-04,3718421-N2201-VATCo-Weekday-04,"Northampton via Holyoke C.C., Easthampton",0,394415,R410057
R41,N2201-VATCo-Weekday-04-1000000,3718422-N2201-VATCo-Weekday-04-1000000,"Northampton via Holyoke C.C., Easthampton",0,394413,R410057
R41,N2201-VATCo-Weekday-04-1000000,3718423-N2201-VATCo-Weekday-04-1000000,"Northampton via Holyoke C.C., Easthampton",0,394413,R410057
R41,N2201-VATCo-Weekday-04-1000000,3718424-N2201-VATCo-Weekday-04-1000000,"Holyoke Mall via Easthampton",1,394413,R410059
R44,N2201-VATCo-Weekday-04,3718425-N2201-VATCo-Weekday-04,"Williamsburg via V.A. Hospital ",0,394414,R440426
R42,N2201-VATCo-Weekday-04,3718426-N2201-VATCo-Weekday-04,"Williamsburg via V.A. Hospital ",0,394414,R420099
R42,N2201-VATCo-Weekday-04,3718427-N2201-VATCo-Weekday-04,"Williamsburg via V.A. Hospital ",0,394414,R420099
R42,N2201-VATCo-Weekday-04,3718428-N2201-VATCo-Weekday-04,"Williamsburg via V.A. Hospital ",0,394415,R420099
R42,N2201-VATCo-Weekday-04,3718429-N2201-VATCo-Weekday-04,"Williamsburg via V.A. Hospital ",0,394415,R420099
R42,N2201-VATCo-Weekday-04,3718430-N2201-VATCo-Weekday-04,"Williamsburg via V.A. Hospital ",0,394414,R420099
R42,N2201-VATCo-Weekday-04,3718431-N2201-VATCo-Weekday-04,"Williamsburg via V.A. Hospital ",0,394415,R420099
R42,N2201-VATCo-Weekday-04,3718432-N2201-VATCo-Weekday-04,"Williamsburg via V.A. Hospital ",0,394415,R420099
R42,N2201-VATCo-Weekday-04-1000000,3718433-N2201-VATCo-Weekday-04-1000000,"Williamsburg via V.A. Hospital ",0,394413,R420099
R42,N2201-VATCo-Weekday-04-1000000,3718434-N2201-VATCo-Weekday-04-1000000,"Williamsburg via V.A. Hospital ",0,394413,R420099
R42,N2201-VATCo-Weekday-04,3718435-N2201-VATCo-Weekday-04,"Williamsburg via V.A. Hospital ",0,394414,R420102
R42,N2201-VATCo-Weekday-04-1000000,3718436-N2201-VATCo-Weekday-04-1000000,"Williamsburg via V.A. Hospital ",0,394413,R420099
R42,N2201-VATCo-Weekday-04-1000000,3718437-N2201-VATCo-Weekday-04-1000000,"Williamsburg via V.A. Hospital ",0,394413,R420099
R42,N2201-VATCo-Weekday-04-1000000,3718438-N2201-VATCo-Weekday-04-1000000,"Williamsburg via V.A. Hospital ",0,394413,R420099
R42,N2201-VATCo-Weekday-04,3718440-N2201-VATCo-Weekday-04,"Williamsburg via V.A. Hospital ",0,394415,R420099
R42,N2201-VATCo-Weekday-04,3718441-N2201-VATCo-Weekday-04,"Northampton to Holyoke Mall ",1,394414,R420100
R42,N2201-VATCo-Weekday-04-1000000,3718442-N2201-VATCo-Weekday-04-1000000,"Northampton ",1,394413,R420100
R42,N2201-VATCo-Weekday-04,3718443-N2201-VATCo-Weekday-04,"Northampton ",1,394415,R420100
R42,N2201-VATCo-Weekday-04,3718444-N2201-VATCo-Weekday-04,"Northampton ",1,394414,R420100
R42,N2201-VATCo-Weekday-04-1000000,3718445-N2201-VATCo-Weekday-04-1000000,"Northampton to Holyoke Mall ",1,394413,R420100
R42,N2201-VATCo-Weekday-04,3718446-N2201-VATCo-Weekday-04,"Northampton to Holyoke Mall ",1,394415,R420100
R42,N2201-VATCo-Weekday-04,3718447-N2201-VATCo-Weekday-04,"Northampton to Holyoke Mall ",1,394414,R420100
R42,N2201-VATCo-Weekday-04-1000000,3718448-N2201-VATCo-Weekday-04-1000000,"Northampton to Holyoke Mall ",1,394413,R420100
R42,N2201-VATCo-Weekday-04,3718449-N2201-VATCo-Weekday-04,"Northampton to Holyoke Mall ",1,394415,R420100
R42,N2201-VATCo-Weekday-04,3718450-N2201-VATCo-Weekday-04,"Northampton to Holyoke Mall ",1,394414,R420100
R42,N2201-VATCo-Weekday-04-1000000,3718451-N2201-VATCo-Weekday-04-1000000,"Northampton to Holyoke Mall ",1,394413,R420100
R42,N2201-VATCo-Weekday-04,3718452-N2201-VATCo-Weekday-04,"Northampton to Holyoke Mall ",1,394415,R420100
R42,N2201-VATCo-Weekday-04,3718453-N2201-VATCo-Weekday-04,"Northampton to Holyoke Mall ",1,394414,R420100
R42,N2201-VATCo-Weekday-04-1000000,3718454-N2201-VATCo-Weekday-04-1000000,"Northampton to Holyoke Mall ",1,394413,R420100
R42,N2201-VATCo-Weekday-04,3718455-N2201-VATCo-Weekday-04,"Northampton to Holyoke Mall ",1,394415,R420100
R42,N2201-VATCo-Weekday-04,3718456-N2201-VATCo-Weekday-04,"Williamsburg via V.A. Hospital ",0,394414,R420099
