shiftname,start time,end time,length,date,route,department
UCREW3EVE,19:30,21:30,2,1/20/14,,Service
30,18:30:00,21:30:00,3,1/24/14,,Service
UCREW4,18:30:00,21:30:00,3,1/27/14,,Service
Trainee,10:02,11:27,1.5,1/13/14,,Training
Fees,12:00,17:45,5.75,1/12/14,,Training
UCREW2,18:30:00,21:30:00,3,1/28/14,,Service
UCREW5,18:30:00,21:30:00,3,1/29/14,,Service
UCREW2,18:30:00,21:30:00,3,1/30/14,,Service
UCREW2,18:30:00,21:30:00,3,2/3/14,,Service
UCREW4,18:30:00,21:30:00,3,2/4/14,,Service
UCREW3,18:30:00,21:30:00,3,2/5/14,,Service
UCREW3,18:30:00,21:30:00,3,2/6/14,,Service
UCREW6,18:30:00,21:30:00,3,2/7/14,,Service
UCREW6,18:30:00,21:30:00,3,2/10/14,,Service
UCREW2,18:30:00,21:30:00,3,2/11/14,,Service
UCREW1,18:30:00,21:30:00,3,2/12/14,,Service
UCREW6,18:30:00,21:30:00,3,2/13/14,,Service
UCREW6,18:30,21:30,3,2/17/14,,Service
UCREW6,18:30:00,21:30:00,3,2/18/14,,Service
UCREW5,18:30:00,21:30:00,3,2/19/14,,Service
UCREW3,18:30:00,21:30:00,3,2/20/14,,Service
UCREW5,18:30:00,21:30:00,3,2/21/14,,Service
UCREW6,18:30:00,21:30:00,3,2/24/14,,Service
UCREW2,18:30:00,21:30:00,3,2/25/14,,Service
UCREW4,18:30:00,21:30:00,3,2/27/14,,Service
UCREW6,18:30:00,21:30:00,3,3/3/14,,Service
UCREW2,18:30:00,21:30:00,3,3/4/14,,Service
UCREW6,18:30:00,21:30:00,3,3/10/14,,Service
UCREW2,18:30:00,21:30:00,3,3/11/14,,Service
UCREW4,18:30:00,21:30:00,3,3/13/14,,Service
UCREW2,18:30:00,21:30:00,3,3/25/14,,Service
UCREW3,18:30:00,21:30:00,3,3/27/14,,Service
UCREW6,18:30:00,21:30:00,3,3/31/14,,Service
UCREW2,18:30:00,21:30:00,3,4/1/14,,Service
UCREW6,18:30:00,21:30:00,3,4/7/14,,Service
UCREW2,18:30:00,21:30:00,3,4/8/14,,Service
Service1 MID,10:41,14:47,4,4/10/14,,Service
UCREW6,18:30:00,21:30:00,3,4/14/14,,Service
UCREW2,18:30:00,21:30:00,3,4/15/14,,Service
UCREW6,18:30,21:30,3,4/21/14,,Service
UCREW4,18:30:00,21:30:00,3,4/24/14,,Service
UCREW6,18:30:00,21:30:00,3,4/28/14,,Service
UCREW2,18:30:00,21:30:00,3,4/29/14,,Service
UCREW6,18:30:00,21:30:00,3,5/5/14,,Service
UCREW2,18:30:00,21:30:00,3,5/6/14,,Service
21-PM,13:40,16:40,3,3/27/14,38,Bus
21-MID,13:25,16:05,2.75,3/29/14,38,Bus
11-PM,14:45,19:10,4.5,3/30/14,30,Bus
C-PM,13:41,16:32,2.75,4/1/14,34,Bus
41-AM, 8:40,11:02,2.25,4/2/14,37,Bus
32-EVE,19:15,26:10:00,7,4/4/14,39,Bus
15-AM, 7:10,11:00,3.75,4/7/14,30,Bus
A-PM,13:32,16:47,3.25,4/8/14,34,Bus
41-AM, 8:40,11:02,2.25,4/9/14,37,Bus
32-EVE,19:15,26:10:00,7,4/11/14,39,Bus
41-PM,16:02,20:20,4.25,4/12/14,37,Bus
21-AM, 8:30,12:50,4.25,4/13/14,38,Bus
